Ваш IP-адрес: 95.79.63.96
№	Дата/время		Температура	Осадки (мм)
-------------------------------------------------------
 1	2025-05-26 00:00	  12,2°C	     0,00
 2	2025-05-26 01:00	  11,7°C	     0,00
 3	2025-05-26 02:00	  11,3°C	     0,00
 4	2025-05-26 03:00	  11,0°C	     0,00
 5	2025-05-26 04:00	  10,9°C	     0,00
 6	2025-05-26 05:00	  11,6°C	     0,00
 7	2025-05-26 06:00	  13,2°C	     0,00
 8	2025-05-26 07:00	  14,9°C	     0,00
 9	2025-05-26 08:00	  16,8°C	     0,00
10	2025-05-26 09:00	  19,0°C	     0,00
11	2025-05-26 10:00	  20,9°C	     0,00
12	2025-05-26 11:00	  22,7°C	     0,00
13	2025-05-26 12:00	  23,9°C	     0,00
14	2025-05-26 13:00	  24,6°C	     0,00
15	2025-05-26 14:00	  24,9°C	     0,00
16	2025-05-26 15:00	  25,0°C	     0,00
17	2025-05-26 16:00	  24,7°C	     0,00
18	2025-05-26 17:00	  24,2°C	     0,00
19	2025-05-26 18:00	  23,4°C	     0,00
20	2025-05-26 19:00	  21,8°C	     0,00
21	2025-05-26 20:00	  19,5°C	     0,00
22	2025-05-26 21:00	  17,5°C	     0,00
23	2025-05-26 22:00	  16,3°C	     0,00
24	2025-05-26 23:00	  15,3°C	     0,00
